variant,output_token_ordinal,host_interval_ns
control,2,1075446974
control,3,1215885907
control,4,1230447413
control,5,1195053333
control,6,1081845407
control,7,1084526962
control,8,1080212127
control,9,1176474453
control,10,1089155723
control,11,1194596878
control,12,1244117857
control,13,1199757945
control,14,1147282544
control,15,1249090031
control,16,1252425522
control,17,1260420101
control,18,1231897112
control,19,1133036375
control,20,1261814292
control,21,1262008401
control,22,1263801058
control,23,1266673978
control,24,1268141009
control,25,1272069686
control,26,1276828772
control,27,1286417984
control,28,1286518062
control,29,1282674001
control,30,1229522149
control,31,1279979295
control,32,1292426925
cooperative,2,1206372588
cooperative,3,1181358332
cooperative,4,1195511527
cooperative,5,1214962215
cooperative,6,1214723258
cooperative,7,1174205568
cooperative,8,1064058476
cooperative,9,1066029640
cooperative,10,1062792205
cooperative,11,1074006331
cooperative,12,1152271061
cooperative,13,1224190134
cooperative,14,1229607914
cooperative,15,1230466498
cooperative,16,1232039484
cooperative,17,1234881440
cooperative,18,1230135282
cooperative,19,1085606954
cooperative,20,1203912830
cooperative,21,1241711419
cooperative,22,1245395189
cooperative,23,1245239647
cooperative,24,1248561627
cooperative,25,1246573829
cooperative,26,1098637363
cooperative,27,1109866361
cooperative,28,1158750274
cooperative,29,1205726196
cooperative,30,1242939621
cooperative,31,1264414170
cooperative,32,1267192008
