variant,output_token_ordinal,decode_interval_ms
baseline-host,2,1274.272484000
baseline-host,3,1229.387042000
baseline-host,4,1146.979513000
baseline-host,5,1226.356466000
baseline-host,6,1223.648533000
baseline-host,7,1275.574358000
baseline-host,8,1222.077136000
baseline-host,9,1280.848533000
baseline-host,10,1286.306042000
baseline-host,11,1245.830885000
baseline-host,12,1288.937171000
baseline-host,13,1274.908823000
baseline-host,14,1209.338776000
baseline-host,15,1202.263792000
baseline-host,16,1172.238468000
baseline-host,17,1231.790180000
baseline-host,18,1263.091819000
baseline-host,19,1307.156485000
baseline-host,20,1311.909041000
baseline-host,21,1299.072815000
baseline-host,22,1278.477212000
baseline-host,23,1301.285618000
baseline-host,24,1303.740995000
baseline-host,25,1304.929058000
baseline-host,26,1303.986748000
baseline-host,27,1313.949988000
baseline-host,28,1338.512192000
baseline-host,29,1327.070942000
baseline-host,30,1325.275189000
baseline-host,31,1339.298333000
baseline-host,32,1331.805280000
