variant,output_token_ordinal,decode_interval_ms
baseline-bf16-v7-control,2,1240.690534000
baseline-bf16-v7-control,3,1250.638630000
baseline-bf16-v7-control,4,1248.464582000
baseline-bf16-v7-control,5,1257.144634000
baseline-bf16-v7-control,6,1257.311594000
baseline-bf16-v7-control,7,1254.956596000
baseline-bf16-v7-control,8,1261.388892000
baseline-bf16-v7-control,9,1258.786065000
baseline-bf16-v7-control,10,1263.910928000
baseline-bf16-v7-control,11,1265.733579000
baseline-bf16-v7-control,12,1247.430599000
baseline-bf16-v7-control,13,1268.883543000
baseline-bf16-v7-control,14,1262.451198000
baseline-bf16-v7-control,15,1268.907699000
baseline-bf16-v7-control,16,1272.961443000
baseline-bf16-v7-control,17,1273.994664000
baseline-bf16-v7-control,18,1282.714896000
baseline-bf16-v7-control,19,1281.945277000
baseline-bf16-v7-control,20,1288.852150000
baseline-bf16-v7-control,21,1290.066032000
baseline-bf16-v7-control,22,1294.682246000
baseline-bf16-v7-control,23,1298.627166000
baseline-bf16-v7-control,24,1301.437473000
baseline-bf16-v7-control,25,1304.186877000
baseline-bf16-v7-control,26,1313.922575000
baseline-bf16-v7-control,27,1322.261326000
baseline-bf16-v7-control,28,1320.209243000
baseline-bf16-v7-control,29,1326.587105000
baseline-bf16-v7-control,30,1301.937139000
baseline-bf16-v7-control,31,1308.687099000
baseline-bf16-v7-control,32,1306.674983000
baseline-fp32-v7,2,1257.616186000
baseline-fp32-v7,3,1250.174263000
baseline-fp32-v7,4,1258.680516000
baseline-fp32-v7,5,1259.687449000
baseline-fp32-v7,6,1263.574664000
baseline-fp32-v7,7,1269.385169000
baseline-fp32-v7,8,1266.754342000
baseline-fp32-v7,9,1273.285604000
baseline-fp32-v7,10,1268.851713000
baseline-fp32-v7,11,1281.389695000
baseline-fp32-v7,12,1276.718841000
baseline-fp32-v7,13,1284.136206000
baseline-fp32-v7,14,1283.562429000
baseline-fp32-v7,15,1234.041255000
baseline-fp32-v7,16,1291.161326000
baseline-fp32-v7,17,1295.131795000
baseline-fp32-v7,18,1214.555779000
baseline-fp32-v7,19,1282.543819000
baseline-fp32-v7,20,1299.440518000
baseline-fp32-v7,21,1301.660684000
baseline-fp32-v7,22,1298.313596000
baseline-fp32-v7,23,1301.605391000
baseline-fp32-v7,24,1314.096483000
baseline-fp32-v7,25,1302.838283000
baseline-fp32-v7,26,1305.862718000
baseline-fp32-v7,27,1306.320812000
baseline-fp32-v7,28,1308.611173000
baseline-fp32-v7,29,1313.205623000
baseline-fp32-v7,30,1311.907054000
baseline-fp32-v7,31,1243.594891000
baseline-fp32-v7,32,1322.158331000
mfma-fp32-v7,2,365.235467000
mfma-fp32-v7,3,363.705753000
mfma-fp32-v7,4,373.563473000
mfma-fp32-v7,5,375.191093000
mfma-fp32-v7,6,470.195192000
mfma-fp32-v7,7,477.140753000
mfma-fp32-v7,8,475.589127000
mfma-fp32-v7,9,495.743922000
mfma-fp32-v7,10,447.462698000
mfma-fp32-v7,11,381.951508000
mfma-fp32-v7,12,386.966666000
mfma-fp32-v7,13,390.292813000
mfma-fp32-v7,14,391.661175000
mfma-fp32-v7,15,391.383392000
mfma-fp32-v7,16,391.752562000
mfma-fp32-v7,17,479.303353000
mfma-fp32-v7,18,497.735856000
mfma-fp32-v7,19,501.952001000
mfma-fp32-v7,20,498.921066000
mfma-fp32-v7,21,501.761337000
mfma-fp32-v7,22,545.817722000
mfma-fp32-v7,23,520.996488000
mfma-fp32-v7,24,432.933714000
mfma-fp32-v7,25,406.252413000
mfma-fp32-v7,26,408.123998000
mfma-fp32-v7,27,488.766664000
mfma-fp32-v7,28,564.099219000
mfma-fp32-v7,29,572.763166000
mfma-fp32-v7,30,574.119502000
mfma-fp32-v7,31,575.397500000
mfma-fp32-v7,32,576.810160000
