variant,output_token_ordinal,decode_interval_ms
baseline,2,3192.642437000
baseline,3,3191.718277000
baseline,4,3187.809937000
baseline,5,3191.299538000
baseline,6,3193.269687000
baseline,7,3192.004445000
baseline,8,3191.281203000
baseline,9,3190.987944000
baseline,10,3187.159816000
baseline,11,3181.332502000
baseline,12,3172.650796000
baseline,13,3179.801423000
baseline,14,3195.587463000
baseline,15,3188.788389000
baseline,16,3194.882406000
baseline,17,3191.998669000
baseline,18,3188.585471000
baseline,19,3196.584374000
baseline,20,3189.537489000
baseline,21,3189.173333000
baseline,22,3183.728632000
baseline,23,3181.150389000
baseline,24,3187.227654000
baseline,25,3200.802722000
baseline,26,3193.223583000
baseline,27,3211.786091000
baseline,28,3203.523590000
baseline,29,3196.701502000
baseline,30,3202.495693000
baseline,31,3184.573859000
baseline,32,3197.562513000
cache,2,2693.371286000
cache,3,2690.192349000
cache,4,2687.390785000
cache,5,2679.128917000
cache,6,2672.685916000
cache,7,2684.586736000
cache,8,2687.330403000
cache,9,2681.587176000
cache,10,2673.731095000
cache,11,2677.988000000
cache,12,2682.146650000
cache,13,2677.126293000
cache,14,2672.709968000
cache,15,2680.083197000
cache,16,2676.119879000
cache,17,2674.156526000
cache,18,2683.428381000
cache,19,2695.124084000
cache,20,2688.641064000
cache,21,2684.749953000
cache,22,2677.315350000
cache,23,2684.703362000
cache,24,2698.289940000
cache,25,2678.937952000
cache,26,2689.289669000
cache,27,2689.392672000
cache,28,2702.219184000
cache,29,2701.795922000
cache,30,2704.430766000
cache,31,2707.061333000
cache,32,2708.979387000
operational,2,959.605571000
operational,3,943.056189000
operational,4,988.161741000
operational,5,963.714216000
operational,6,947.787193000
operational,7,950.893572000
operational,8,953.903236000
operational,9,948.169955000
operational,10,948.364235000
operational,11,944.820084000
operational,12,870.997041000
operational,13,961.347402000
operational,14,881.161939000
operational,15,963.135171000
operational,16,964.664414000
operational,17,906.479303000
operational,18,968.725608000
operational,19,970.080091000
operational,20,971.665779000
operational,21,974.821410000
operational,22,973.094091000
operational,23,973.208352000
operational,24,924.818707000
operational,25,977.053353000
operational,26,977.701631000
operational,27,980.219701000
operational,28,979.937599000
operational,29,974.739378000
operational,30,903.918889000
operational,31,919.039357000
operational,32,944.259466000
