variant,output_token_ordinal,decode_interval_ms
serial-control,2,1166.828114000
serial-control,3,1227.495024000
serial-control,4,1161.440981000
serial-control,5,1161.972744000
serial-control,6,1066.889869000
serial-control,7,1064.036954000
serial-control,8,1067.688630000
serial-control,9,1117.772737000
serial-control,10,1225.423244000
serial-control,11,1236.097340000
serial-control,12,1085.639100000
serial-control,13,1083.993210000
serial-control,14,1191.052143000
serial-control,15,1252.504074000
serial-control,16,1252.504803000
serial-control,17,1249.363127000
serial-control,18,1255.918408000
serial-control,19,1223.215676000
serial-control,20,1252.980084000
serial-control,21,1252.546253000
serial-control,22,1251.769831000
serial-control,23,1261.259076000
serial-control,24,1264.718993000
serial-control,25,1253.727209000
serial-control,26,1271.726117000
serial-control,27,1275.225344000
serial-control,28,1285.344299000
serial-control,29,1285.889511000
serial-control,30,1263.692005000
serial-control,31,1128.617956000
serial-control,32,1275.277049000
ordered-scalar-v3,2,1074.879755000
ordered-scalar-v3,3,1080.148293000
ordered-scalar-v3,4,1048.537392000
ordered-scalar-v3,5,1059.509871000
ordered-scalar-v3,6,1060.967829000
ordered-scalar-v3,7,986.275872000
ordered-scalar-v3,8,1075.742627000
ordered-scalar-v3,9,1089.469411000
ordered-scalar-v3,10,1091.461335000
ordered-scalar-v3,11,1060.461556000
ordered-scalar-v3,12,1069.289583000
ordered-scalar-v3,13,1033.826247000
ordered-scalar-v3,14,1030.630332000
ordered-scalar-v3,15,1098.393185000
ordered-scalar-v3,16,1098.599261000
ordered-scalar-v3,17,1084.209374000
ordered-scalar-v3,18,1104.495707000
ordered-scalar-v3,19,1105.376843000
ordered-scalar-v3,20,1107.054577000
ordered-scalar-v3,21,1108.387757000
ordered-scalar-v3,22,1109.060612000
ordered-scalar-v3,23,1110.648692000
ordered-scalar-v3,24,1080.754707000
ordered-scalar-v3,25,1015.158849000
ordered-scalar-v3,26,1066.534632000
ordered-scalar-v3,27,1044.889068000
ordered-scalar-v3,28,1028.919932000
ordered-scalar-v3,29,1053.185399000
ordered-scalar-v3,30,1099.402806000
ordered-scalar-v3,31,1137.265063000
ordered-scalar-v3,32,1137.559061000
