variant,output_token_ordinal,decode_interval_ms
serial-v7,2,161.360438000
serial-v7,3,161.004126000
serial-v7,4,159.876793000
serial-v7,5,161.277645000
serial-v7,6,159.553089000
serial-v7,7,150.201817000
serial-v7,8,149.778785000
serial-v7,9,149.810432000
serial-v7,10,149.930401000
serial-v7,11,163.169910000
serial-v7,12,158.053991000
serial-v7,13,162.561191000
serial-v7,14,162.509865000
serial-v7,15,161.929578000
serial-v7,16,161.569149000
serial-v7,17,162.759508000
serial-v7,18,162.488182000
serial-v7,19,163.147126000
serial-v7,20,162.759217000
serial-v7,21,161.874385000
serial-v7,22,162.818796000
serial-v7,23,163.992108000
serial-v7,24,163.273214000
serial-v7,25,162.331608000
serial-v7,26,163.269990000
serial-v7,27,163.029610000
serial-v7,28,162.944434000
serial-v7,29,163.186043000
serial-v7,30,163.579131000
serial-v7,31,162.641511000
serial-v7,32,163.406554000
wave-v11,2,136.902606000
wave-v11,3,136.746292000
wave-v11,4,137.143485000
wave-v11,5,137.179218000
wave-v11,6,137.162183000
wave-v11,7,137.244485000
wave-v11,8,137.678905000
wave-v11,9,137.400719000
wave-v11,10,137.988296000
wave-v11,11,137.037356000
wave-v11,12,137.733717000
wave-v11,13,138.012222000
wave-v11,14,137.536271000
wave-v11,15,130.873393000
wave-v11,16,130.707475000
wave-v11,17,131.106320000
wave-v11,18,130.852943000
wave-v11,19,131.019601000
wave-v11,20,131.357596000
wave-v11,21,131.367210000
wave-v11,22,142.017222000
wave-v11,23,142.209849000
wave-v11,24,141.408173000
wave-v11,25,141.740379000
wave-v11,26,141.697274000
wave-v11,27,141.842161000
wave-v11,28,142.075499000
wave-v11,29,141.829542000
wave-v11,30,141.580249000
wave-v11,31,141.993657000
wave-v11,32,142.375998000
