variant,output_token_ordinal,decode_interval_ms
baseline-main,2,191.952616000
baseline-main,3,193.012358000
baseline-main,4,219.210686000
baseline-main,5,192.530398000
baseline-main,6,192.443910000
baseline-main,7,192.625581000
baseline-main,8,192.269639000
baseline-main,9,192.661384000
baseline-main,10,193.543220000
baseline-main,11,220.663595000
baseline-main,12,192.643337000
baseline-main,13,192.832940000
baseline-main,14,193.403272000
baseline-main,15,193.415379000
baseline-main,16,193.757159000
baseline-main,17,222.222591000
baseline-main,18,194.142314000
baseline-main,19,222.275671000
baseline-main,20,223.722279000
baseline-main,21,193.615829000
baseline-main,22,215.195143000
baseline-main,23,198.359678000
baseline-main,24,211.188864000
baseline-main,25,193.617522000
baseline-main,26,194.672465000
baseline-main,27,194.095114000
baseline-main,28,193.538003000
baseline-main,29,193.996597000
baseline-main,30,194.325628000
baseline-main,31,194.317376000
baseline-main,32,194.889089000
paired-main,2,174.718348000
paired-main,3,174.033205000
paired-main,4,173.888069000
paired-main,5,175.104324000
paired-main,6,174.801462000
paired-main,7,201.601951000
paired-main,8,202.736243000
paired-main,9,175.183022000
paired-main,10,175.077303000
paired-main,11,175.524331000
paired-main,12,175.374387000
paired-main,13,176.078769000
paired-main,14,201.282484000
paired-main,15,175.047449000
paired-main,16,176.425716000
paired-main,17,200.877499000
paired-main,18,175.075141000
paired-main,19,175.516239000
paired-main,20,175.407016000
paired-main,21,174.844877000
paired-main,22,174.788403000
paired-main,23,174.745488000
paired-main,24,174.377029000
paired-main,25,176.004738000
paired-main,26,176.665134000
paired-main,27,175.853392000
paired-main,28,176.448821000
paired-main,29,175.873792000
paired-main,30,176.688178000
paired-main,31,175.966922000
paired-main,32,177.012943000
