variant,output_token_ordinal,decode_interval_ms
baseline,2,93.185508000
baseline,3,121.944519000
baseline,4,92.425573000
baseline,5,92.694374000
baseline,6,91.978456000
baseline,7,80.036771000
baseline,8,79.877773000
baseline,9,80.078523000
baseline,10,89.652912000
baseline,11,81.545965000
baseline,12,81.155342000
baseline,13,92.083913000
baseline,14,91.990974000
baseline,15,92.229150000
baseline,16,92.633032000
baseline,17,92.109150000
baseline,18,83.107748000
baseline,19,83.124592000
baseline,20,83.117422000
baseline,21,83.086015000
baseline,22,83.034878000
baseline,23,82.870934000
baseline,24,83.269769000
baseline,25,83.349538000
baseline,26,83.519753000
baseline,27,83.403719000
baseline,28,83.586903000
baseline,29,83.671269000
baseline,30,83.590929000
baseline,31,83.689967000
baseline,32,84.200810000
parallel-v16,2,70.176540000
parallel-v16,3,82.547064000
parallel-v16,4,77.318046000
parallel-v16,5,97.000709000
parallel-v16,6,73.246495000
parallel-v16,7,70.996655000
parallel-v16,8,71.126719000
parallel-v16,9,70.338853000
parallel-v16,10,70.622857000
parallel-v16,11,71.097726000
parallel-v16,12,81.406350000
parallel-v16,13,81.666349000
parallel-v16,14,81.634872000
parallel-v16,15,81.527361000
parallel-v16,16,82.057153000
parallel-v16,17,84.298470000
parallel-v16,18,84.446520000
parallel-v16,19,82.827473000
parallel-v16,20,82.904579000
parallel-v16,21,83.138126000
parallel-v16,22,83.127552000
parallel-v16,23,83.576040000
parallel-v16,24,83.357014000
parallel-v16,25,83.674487000
parallel-v16,26,83.832985000
parallel-v16,27,83.703992000
parallel-v16,28,83.534078000
parallel-v16,29,84.041286000
parallel-v16,30,84.175937000
parallel-v16,31,84.044881000
parallel-v16,32,84.109327000
