variant,output_token_ordinal,decode_interval_ms
per-dispatch-checks,2,192.192005000
per-dispatch-checks,3,192.594156000
per-dispatch-checks,4,192.674576000
per-dispatch-checks,5,192.484292000
per-dispatch-checks,6,191.909432000
per-dispatch-checks,7,192.157113000
per-dispatch-checks,8,192.467786000
per-dispatch-checks,9,193.135945000
per-dispatch-checks,10,192.516810000
per-dispatch-checks,11,208.321287000
per-dispatch-checks,12,193.265217000
per-dispatch-checks,13,193.460701000
per-dispatch-checks,14,193.681850000
per-dispatch-checks,15,192.433214000
per-dispatch-checks,16,193.785766000
per-dispatch-checks,17,193.069966000
per-dispatch-checks,18,193.359858000
per-dispatch-checks,19,193.734198000
per-dispatch-checks,20,194.077913000
per-dispatch-checks,21,221.831513000
per-dispatch-checks,22,193.831473000
per-dispatch-checks,23,193.862208000
per-dispatch-checks,24,194.526122000
per-dispatch-checks,25,208.849053000
per-dispatch-checks,26,194.220425000
per-dispatch-checks,27,194.467884000
per-dispatch-checks,28,194.707351000
per-dispatch-checks,29,194.826369000
per-dispatch-checks,30,197.260379000
per-dispatch-checks,31,194.633961000
per-dispatch-checks,32,213.894236000
transaction-checks,2,178.258032000
transaction-checks,3,178.596117000
transaction-checks,4,178.470019000
transaction-checks,5,178.623468000
transaction-checks,6,178.627504000
transaction-checks,7,178.611840000
transaction-checks,8,178.110521000
transaction-checks,9,178.516057000
transaction-checks,10,178.861994000
transaction-checks,11,178.825219000
transaction-checks,12,178.172774000
transaction-checks,13,178.461285000
transaction-checks,14,179.032538000
transaction-checks,15,178.367666000
transaction-checks,16,178.360784000
transaction-checks,17,178.705269000
transaction-checks,18,179.168772000
transaction-checks,19,179.055552000
transaction-checks,20,179.474239000
transaction-checks,21,179.645253000
transaction-checks,22,179.579876000
transaction-checks,23,169.597510000
transaction-checks,24,179.734687000
transaction-checks,25,180.057269000
transaction-checks,26,179.246307000
transaction-checks,27,179.575800000
transaction-checks,28,180.435873000
transaction-checks,29,180.339922000
transaction-checks,30,180.512608000
transaction-checks,31,181.440365000
transaction-checks,32,180.403345000
