variant,output_token_ordinal,decode_interval_ms
baseline,2,140.480484000
baseline,3,129.883915000
baseline,4,130.032717000
baseline,5,130.064144000
baseline,6,130.336961000
baseline,7,130.033538000
baseline,8,130.374647000
baseline,9,130.659903000
baseline,10,130.505683000
baseline,11,130.640114000
baseline,12,130.654825000
baseline,13,130.600935000
baseline,14,130.630289000
baseline,15,131.079420000
baseline,16,130.595557000
baseline,17,132.276296000
baseline,18,141.072248000
baseline,19,141.497042000
baseline,20,141.807906000
baseline,21,141.320468000
baseline,22,141.432847000
baseline,23,141.506866000
baseline,24,141.570472000
baseline,25,140.962734000
baseline,26,131.578235000
baseline,27,131.738693000
baseline,28,131.555300000
baseline,29,132.118531000
baseline,30,131.766294000
baseline,31,132.428644000
baseline,32,132.551838000
wave-v15,2,82.009575000
wave-v15,3,82.067311000
wave-v15,4,82.037727000
wave-v15,5,82.491034000
wave-v15,6,92.466396000
wave-v15,7,92.571133000
wave-v15,8,92.323984000
wave-v15,9,92.577763000
wave-v15,10,92.227951000
wave-v15,11,92.100981000
wave-v15,12,92.577261000
wave-v15,13,93.463375000
wave-v15,14,93.417617000
wave-v15,15,93.909281000
wave-v15,16,94.581114000
wave-v15,17,94.161937000
wave-v15,18,94.378672000
wave-v15,19,94.096930000
wave-v15,20,93.725797000
wave-v15,21,93.852626000
wave-v15,22,93.931164000
wave-v15,23,94.441895000
wave-v15,24,95.221430000
wave-v15,25,94.731378000
wave-v15,26,94.793301000
wave-v15,27,94.692960000
wave-v15,28,94.303790000
wave-v15,29,94.529045000
wave-v15,30,94.812029000
wave-v15,31,93.878074000
wave-v15,32,83.736584000
