variant,output_token_ordinal,decode_interval_ms
serial-mfma-v7-wave-control,2,364.387118000
serial-mfma-v7-wave-control,3,351.155900000
serial-mfma-v7-wave-control,4,341.116609000
serial-mfma-v7-wave-control,5,386.417792000
serial-mfma-v7-wave-control,6,383.739963000
serial-mfma-v7-wave-control,7,385.617802000
serial-mfma-v7-wave-control,8,392.380221000
serial-mfma-v7-wave-control,9,386.489162000
serial-mfma-v7-wave-control,10,338.438621000
serial-mfma-v7-wave-control,11,332.989950000
serial-mfma-v7-wave-control,12,388.082679000
serial-mfma-v7-wave-control,13,292.007394000
serial-mfma-v7-wave-control,14,294.649290000
serial-mfma-v7-wave-control,15,319.180942000
serial-mfma-v7-wave-control,16,370.781797000
serial-mfma-v7-wave-control,17,392.080770000
serial-mfma-v7-wave-control,18,348.784183000
serial-mfma-v7-wave-control,19,296.351100000
serial-mfma-v7-wave-control,20,365.484994000
serial-mfma-v7-wave-control,21,386.292096000
serial-mfma-v7-wave-control,22,386.038567000
serial-mfma-v7-wave-control,23,386.359517000
serial-mfma-v7-wave-control,24,364.192160000
serial-mfma-v7-wave-control,25,389.562852000
serial-mfma-v7-wave-control,26,389.017981000
serial-mfma-v7-wave-control,27,416.928149000
serial-mfma-v7-wave-control,28,387.648961000
serial-mfma-v7-wave-control,29,388.234886000
serial-mfma-v7-wave-control,30,391.280315000
serial-mfma-v7-wave-control,31,390.403980000
serial-mfma-v7-wave-control,32,407.120985000
full-forward-mfma-v7-wave,2,211.853337000
full-forward-mfma-v7-wave,3,220.389100000
full-forward-mfma-v7-wave,4,191.842375000
full-forward-mfma-v7-wave,5,191.780323000
full-forward-mfma-v7-wave,6,192.119809000
full-forward-mfma-v7-wave,7,191.703288000
full-forward-mfma-v7-wave,8,192.387498000
full-forward-mfma-v7-wave,9,212.198733000
full-forward-mfma-v7-wave,10,192.634076000
full-forward-mfma-v7-wave,11,193.562592000
full-forward-mfma-v7-wave,12,212.489756000
full-forward-mfma-v7-wave,13,192.740005000
full-forward-mfma-v7-wave,14,193.200683000
full-forward-mfma-v7-wave,15,192.521528000
full-forward-mfma-v7-wave,16,193.174834000
full-forward-mfma-v7-wave,17,193.600639000
full-forward-mfma-v7-wave,18,193.021064000
full-forward-mfma-v7-wave,19,193.541601000
full-forward-mfma-v7-wave,20,194.040966000
full-forward-mfma-v7-wave,21,193.443014000
full-forward-mfma-v7-wave,22,193.083226000
full-forward-mfma-v7-wave,23,193.574891000
full-forward-mfma-v7-wave,24,193.019483000
full-forward-mfma-v7-wave,25,193.924953000
full-forward-mfma-v7-wave,26,194.211571000
full-forward-mfma-v7-wave,27,194.019544000
full-forward-mfma-v7-wave,28,194.684818000
full-forward-mfma-v7-wave,29,221.639186000
full-forward-mfma-v7-wave,30,193.297868000
full-forward-mfma-v7-wave,31,193.794749000
full-forward-mfma-v7-wave,32,195.380385000
