variant,output_token_ordinal,decode_interval_ms
serial-mfma-v7-control,2,398.489965000
serial-mfma-v7-control,3,438.621732000
serial-mfma-v7-control,4,441.448353000
serial-mfma-v7-control,5,443.865672000
serial-mfma-v7-control,6,444.754569000
serial-mfma-v7-control,7,445.195027000
serial-mfma-v7-control,8,447.206150000
serial-mfma-v7-control,9,451.937473000
serial-mfma-v7-control,10,451.869562000
serial-mfma-v7-control,11,452.773041000
serial-mfma-v7-control,12,452.749566000
serial-mfma-v7-control,13,457.060572000
serial-mfma-v7-control,14,457.590574000
serial-mfma-v7-control,15,459.555187000
serial-mfma-v7-control,16,460.031088000
serial-mfma-v7-control,17,461.863863000
serial-mfma-v7-control,18,460.602941000
serial-mfma-v7-control,19,430.278356000
serial-mfma-v7-control,20,462.841574000
serial-mfma-v7-control,21,470.323474000
serial-mfma-v7-control,22,473.299547000
serial-mfma-v7-control,23,472.175980000
serial-mfma-v7-control,24,476.294109000
serial-mfma-v7-control,25,479.463450000
serial-mfma-v7-control,26,490.837943000
serial-mfma-v7-control,27,491.364920000
serial-mfma-v7-control,28,490.611274000
serial-mfma-v7-control,29,492.763918000
serial-mfma-v7-control,30,491.343498000
serial-mfma-v7-control,31,494.122517000
serial-mfma-v7-control,32,495.233124000
full-forward-mfma-v7,2,202.002525000
full-forward-mfma-v7,3,223.534572000
full-forward-mfma-v7,4,205.282321000
full-forward-mfma-v7,5,206.671085000
full-forward-mfma-v7,6,207.923455000
full-forward-mfma-v7,7,209.122665000
full-forward-mfma-v7,8,210.775212000
full-forward-mfma-v7,9,214.133948000
full-forward-mfma-v7,10,215.192087000
full-forward-mfma-v7,11,216.599347000
full-forward-mfma-v7,12,217.932008000
full-forward-mfma-v7,13,240.992498000
full-forward-mfma-v7,14,221.990687000
full-forward-mfma-v7,15,245.254060000
full-forward-mfma-v7,16,252.419168000
full-forward-mfma-v7,17,226.096327000
full-forward-mfma-v7,18,228.587427000
full-forward-mfma-v7,19,258.836850000
full-forward-mfma-v7,20,231.338583000
full-forward-mfma-v7,21,232.350866000
full-forward-mfma-v7,22,235.564102000
full-forward-mfma-v7,23,235.689931000
full-forward-mfma-v7,24,238.075503000
full-forward-mfma-v7,25,238.740345000
full-forward-mfma-v7,26,241.250372000
full-forward-mfma-v7,27,278.333388000
full-forward-mfma-v7,28,282.355134000
full-forward-mfma-v7,29,280.245663000
full-forward-mfma-v7,30,257.056972000
full-forward-mfma-v7,31,258.483102000
full-forward-mfma-v7,32,260.975081000
