variant,output_token_ordinal,decode_interval_ms
serial-control,2,1194.337525000
serial-control,3,1198.465409000
serial-control,4,1197.538184000
serial-control,5,1197.506007000
serial-control,6,1190.509029000
serial-control,7,1186.440523000
serial-control,8,1160.428672000
serial-control,9,1197.646757000
serial-control,10,1169.689741000
serial-control,11,1201.327193000
serial-control,12,1210.334402000
serial-control,13,1202.195981000
serial-control,14,1200.698474000
serial-control,15,1207.103829000
serial-control,16,1212.138116000
serial-control,17,1214.795764000
serial-control,18,1152.820282000
serial-control,19,1218.883679000
serial-control,20,1223.195538000
serial-control,21,1197.259529000
serial-control,22,1181.579396000
serial-control,23,1233.569518000
serial-control,24,1223.582876000
serial-control,25,1222.387071000
serial-control,26,1232.432150000
serial-control,27,1249.035142000
serial-control,28,1250.431828000
serial-control,29,1245.549327000
serial-control,30,1244.914980000
serial-control,31,1235.208146000
serial-control,32,1250.440861000
full-forward-scalar-v3,2,962.368432000
full-forward-scalar-v3,3,935.010211000
full-forward-scalar-v3,4,936.680184000
full-forward-scalar-v3,5,940.319108000
full-forward-scalar-v3,6,941.766469000
full-forward-scalar-v3,7,975.065101000
full-forward-scalar-v3,8,973.598642000
full-forward-scalar-v3,9,976.444291000
full-forward-scalar-v3,10,978.160714000
full-forward-scalar-v3,11,978.295225000
full-forward-scalar-v3,12,980.857000000
full-forward-scalar-v3,13,980.250444000
full-forward-scalar-v3,14,987.617506000
full-forward-scalar-v3,15,984.577636000
full-forward-scalar-v3,16,957.946420000
full-forward-scalar-v3,17,959.068014000
full-forward-scalar-v3,18,981.480692000
full-forward-scalar-v3,19,964.074430000
full-forward-scalar-v3,20,995.049973000
full-forward-scalar-v3,21,995.546967000
full-forward-scalar-v3,22,994.968802000
full-forward-scalar-v3,23,999.318178000
full-forward-scalar-v3,24,1003.073454000
full-forward-scalar-v3,25,982.722356000
full-forward-scalar-v3,26,984.390897000
full-forward-scalar-v3,27,1018.856663000
full-forward-scalar-v3,28,1016.159785000
full-forward-scalar-v3,29,1010.191454000
full-forward-scalar-v3,30,1012.449335000
full-forward-scalar-v3,31,1021.285079000
full-forward-scalar-v3,32,1022.293715000
