phase,family,forwards,packets_per_forward,packet_count,sum_packet_intervals_ns,mean_sum_per_forward_ns,mean_packet_interval_ns
all,normalization,36,145,5220,2061405712,57261269.777777776,394905.3088122605
all,MLP down projection,36,36,1296,530435411,14734316.972222222,409286.58256172837
all,QKV projections,36,108,3888,523638229,14545506.361111112,134680.6144547325
all,KV cache write,36,36,1296,430079067,11946640.75,331851.13194444444
all,MLP gate/up projections,36,72,2592,378507098,10514086.055555556,146028.97299382716
all,attention output projection,36,36,1296,183657645,5101601.25,141711.14583333334
all,attention,36,36,1296,64419329,1789425.8055555555,49706.27237654321
all,rotary position,36,36,1296,50707551,1408543.0833333333,39126.19675925926
all,argmax,36,1,36,34667791,962994.1944444445,962994.1944444445
all,vocabulary projection,36,1,36,31292911,869247.5277777778,869247.5277777778
all,residual add,36,72,2592,19294856,535968.2222222222,7444.003086419753
all,activation,36,36,1296,13679431,379984.19444444444,10555.11651234568
all,embedding,36,1,36,315238,8756.611111111111,8756.611111111111
decode,normalization,31,145,4495,1775064522,57260145.87096774,394897.557730812
decode,MLP down projection,31,36,1116,456778791,14734799.709677419,409299.9919354839
decode,QKV projections,31,108,3348,450821908,14542642.193548387,134654.09438470728
decode,KV cache write,31,36,1116,370345593,11946632.032258065,331850.8897849462
decode,MLP gate/up projections,31,72,2232,325860090,10511615.806451613,145994.66397849462
decode,attention output projection,31,36,1116,158142922,5101384.580645162,141705.12724014337
decode,attention,31,36,1116,61730049,1991291.9032258065,55313.663978494624
decode,rotary position,31,36,1116,43660951,1408417.7741935484,39122.71594982079
decode,argmax,31,1,31,29841280,962621.9354838709,962621.9354838709
decode,vocabulary projection,31,1,31,26940967,869063.4516129033,869063.4516129033
decode,residual add,31,72,2232,16602616,535568.2580645161,7438.448028673835
decode,activation,31,36,1116,11754911,379190.67741935485,10533.074372759856
decode,embedding,31,1,31,262638,8472.193548387097,8472.193548387097
prompt,normalization,5,145,725,286341190,57268238.0,394953.36551724136
prompt,MLP down projection,5,36,180,73656620,14731324.0,409203.44444444444
prompt,QKV projections,5,108,540,72816321,14563264.2,134845.0388888889
prompt,KV cache write,5,36,180,59733474,11946694.8,331852.63333333336
prompt,MLP gate/up projections,5,72,360,52647008,10529401.6,146241.6888888889
prompt,attention output projection,5,36,180,25514723,5102944.6,141748.4611111111
prompt,rotary position,5,36,180,7046600,1409320.0,39147.77777777778
prompt,argmax,5,1,5,4826511,965302.2,965302.2
prompt,vocabulary projection,5,1,5,4351944,870388.8,870388.8
prompt,residual add,5,72,360,2692240,538448.0,7478.444444444444
prompt,attention,5,36,180,2689280,537856.0,14940.444444444445
prompt,activation,5,36,180,1924520,384904.0,10691.777777777777
prompt,embedding,5,1,5,52600,10520.0,10520.0
