generation,phase,packet_count,sum_packet_intervals_ns,packet_interval_span_ns_floor,instrumented_host_batch_elapsed_ns,system_frequency_hz,payload_sha256
1,prompt,616,118483715,118484037,135834477,1000000000,2ec815c965e6d393ab578e6173ff0eb1f9070118f8625df1a2f74ffbcfc43e1d
2,prompt,616,118948031,118948301,130316846,1000000000,f2e064a4a5ce54d0e290694a1011447b681cc676573124b4355dd322853bf2a9
3,prompt,616,118910927,118911157,131723287,1000000000,a57e9925f70909b5db70703a29c4d19053ef9ccb4928462ba79a672cea13dbd9
4,prompt,616,118944029,118944249,131776707,1000000000,4fcf6cef8219b46bae43930b746d8e307599288e1e260ab928dc551ee4a88376
5,prompt,616,119006329,119006621,131962815,1000000000,159a4fd4268007ef5c571af2aa8bb19b524d3c91d578fc6fd6e2e928fb37ce6e
6,decode,616,119117387,119117613,131836115,1000000000,25724585e9211717681da15a8dd2bad27bf9a54b2ccdb0f462a1d1d89b1334fa
7,decode,616,119210290,119210533,132055394,1000000000,63fc3a8420239e9964ed1fe6c2aa14c093f04923be8809b2d22f53c19f2b1865
8,decode,616,119083528,119083764,131795765,1000000000,b709d658b423dbb5381bfd735c0f4a04450c42f6a3e451060f8f4c2c025e6844
9,decode,616,119519374,119519642,132241331,1000000000,3bd02cba5868bec29d98180a524b4eecf5bff3d131e600741161d4b098f8bb51
10,decode,616,119312147,119312379,132094300,1000000000,1451fb00fd253f9a8aafcb578ac1bdeb167b5bd1688cb499968dca143db23309
11,decode,616,119550378,119550588,132342101,1000000000,12d7a9f13b5133fb106518eb4b3d777f8f976da92a8d643d3764bab847354219
12,decode,616,119343342,119343633,132161942,1000000000,aa1676da4000b5cbafedf0205530dc36e135844119d90f7bb6b4a07e00b5dc61
13,decode,616,119519353,119519780,132358706,1000000000,d088b0b19fe5e129c67bae2838259f43d6178805666256b33ad0d9b2173efc6d
14,decode,616,119808988,119809280,132657903,1000000000,a019e65ce77234654a3224a50da274895b72f64b8301828b0ded0d3194905335
15,decode,616,119753873,119754111,132540457,1000000000,d333e6372230c36575c5af5feaaae9efa7a597b9c318b4d96a5d86b3023201bf
16,decode,616,120025085,120025332,132845192,1000000000,592b7d1d82ec1fcdca208948cce56317b838c95fbc8048a4596bfc68e5ba7ad1
17,decode,616,119905037,119905279,132748839,1000000000,ce30de6fab767359acd5fd18b9914c87449838abe41296a87e5998e00bc8e830
18,decode,616,119982196,119982537,132780165,1000000000,c600589a2cc680d9811cfe78a9e03173f2731e8007aaf2b6b5ab8d01206ef3e4
19,decode,616,120086023,120086258,132903730,1000000000,207bee076109d36bbea4e5ee5e4c196bd2c75c7f6ab4ef6b030733d41d0d3073
20,decode,616,120075763,120076088,132886034,1000000000,d6cbdeb3a6c0dcbbce994d5d54b20d2bcccb82efb45630aa465ef14804471423
21,decode,616,120518207,120518510,133393732,1000000000,71e7744db81384e1c396ab435ced02256841b05b448936ec00e46696ff887c9b
22,decode,616,120124275,120124517,132888497,1000000000,4f5c430f38bfc1610316ecbe6599cef4b0f6da31a91278c7f0800ce78a3fca6b
23,decode,616,120667123,120667376,133503675,1000000000,4a1932da1ed5074cf5e3d78b5cf6006b728e29ef21513ba8a6b5dd5a6258236b
24,decode,616,120223575,120223837,133132100,1000000000,4380d6681ce8276a854e6fdfcaf65ccd68dbaf655113658cea2b23b6d4c7c0ce
25,decode,616,120515130,120515365,133348825,1000000000,c1848f4cd0223f65f14c97872c8042fb6e9bc488acf4531fabd96ebf1dc592e0
26,decode,616,120555698,120555912,133379520,1000000000,e0b37b9bdf1a0f639a21c595e4a1147dd8de23557e956fc43c62b3480e00553e
27,decode,616,120753999,120754219,133539559,1000000000,7cbb0415063cb994edf8173883f848c6f3a8fe8e0351c3487f1f2b1900555c36
28,decode,616,121139919,121140198,134040647,1000000000,6d4ca33c158338b4225253894ba987f36ab12ec7e1df7f48effd87b3eaeaebb7
29,decode,616,120559209,120559444,133430175,1000000000,bf4ac73eb8375ccda3b170e5ae5e7aca4906ef558f7557fb8404f4c198588fc9
30,decode,616,121009578,121009803,133913037,1000000000,e39a75560a217fb1575a29dc031e5348484bf5ce144f13419f483c484990e32e
31,decode,616,120979059,120979238,136473080,1000000000,4450f1b0fe788e3606fce469156eaed58d5e1b890e61e7e7beec78cce24b2817
32,decode,616,120964988,120965234,143741014,1000000000,b6e469a7ec6911ea7ec1f3bb1f5f04d13ee4a15d8a7f1ca250d0ae94833f1a6f
33,decode,616,121239165,121239398,134069691,1000000000,b0c1ba58b51b7d5db13ec55147a3decaf6fccc00eecdfb0003fbffc2560c83af
34,decode,616,121367351,121367582,134270170,1000000000,4ec4a0060e56b2e0bebe2888cf1429203c0079d6f016c474ec1811c3a7b30a78
35,decode,616,121333850,121334022,134122339,1000000000,985846e0b01d1ae83a520bbf20b8f4f190202df7720f6efc91760e413d3b70d7
36,decode,616,121563348,121563638,134631680,1000000000,d7fb33cf1aa4fab83c7ccea5e07b8351d12f079dd7ec2fb56389918b24bfc206
