phase,operation,forwards,packets_per_forward,packet_count,sum_packet_intervals_ns,mean_sum_per_forward_ns,mean_packet_interval_ns
all,input_norm,36,36,1296,963667901,26768552.805555556,743570.9112654321
all,post_attention_norm,36,36,1296,963207200,26755755.555555556,743215.4320987654
all,down_projection,36,36,1296,530435411,14734316.972222222,409286.58256172837
all,kv_append,36,36,1296,430079067,11946640.75,331851.13194444444
all,gate_projection,36,36,1296,190146207,5281839.083333333,146717.7523148148
all,up_projection,36,36,1296,188360891,5232246.972222222,145340.1936728395
all,o_projection,36,36,1296,183657645,5101601.25,141711.14583333334
all,q_projection,36,36,1296,178852178,4968116.055555556,138003.2237654321
all,k_projection,36,36,1296,172591012,4794194.777777778,133172.07716049382
all,v_projection,36,36,1296,172195039,4783195.527777778,132866.5424382716
all,gqa,36,36,1296,64419329,1789425.8055555555,49706.27237654321
all,q_norm,36,36,1296,54133940,1503720.5555555555,41770.015432098764
all,k_norm,36,36,1296,53546700,1487408.3333333333,41316.898148148146
all,rope,36,36,1296,50707551,1408543.0833333333,39126.19675925926
all,argmax,36,1,36,34667791,962994.1944444445,962994.1944444445
all,vocabulary_head,36,1,36,31292911,869247.5277777778,869247.5277777778
all,final_norm,36,1,36,26849971,745832.5277777778,745832.5277777778
all,swiglu,36,36,1296,13679431,379984.19444444444,10555.11651234568
all,attention_residual,36,36,1296,10031128,278642.44444444444,7740.067901234568
all,mlp_residual,36,36,1296,9263728,257325.77777777778,7147.938271604939
all,embedding,36,1,36,315238,8756.611111111111,8756.611111111111
decode,input_norm,31,36,1116,829860231,26769684.870967742,743602.3575268817
decode,post_attention_norm,31,36,1116,829405295,26755009.51612903,743194.708781362
decode,down_projection,31,36,1116,456778791,14734799.709677419,409299.9919354839
decode,kv_append,31,36,1116,370345593,11946632.032258065,331850.8897849462
decode,gate_projection,31,36,1116,163679203,5279974.29032258,146665.95250896056
decode,up_projection,31,36,1116,162180887,5231641.516129033,145323.37544802867
decode,o_projection,31,36,1116,158142922,5101384.580645162,141705.12724014337
decode,q_projection,31,36,1116,153968474,4966724.9677419355,137964.582437276
decode,k_projection,31,36,1116,148596963,4793450.419354838,133151.4005376344
decode,v_projection,31,36,1116,148256471,4782466.806451613,132846.30017921148
decode,gqa,31,36,1116,61730049,1991291.9032258065,55313.663978494624
decode,q_norm,31,36,1116,46599540,1503210.9677419355,41755.86021505376
decode,k_norm,31,36,1116,46086660,1486666.4516129033,41296.290322580644
decode,rope,31,36,1116,43660951,1408417.7741935484,39122.71594982079
decode,argmax,31,1,31,29841280,962621.9354838709,962621.9354838709
decode,vocabulary_head,31,1,31,26940967,869063.4516129033,869063.4516129033
decode,final_norm,31,1,31,23112796,745574.0645161291,745574.0645161291
decode,swiglu,31,36,1116,11754911,379190.67741935485,10533.074372759856
decode,attention_residual,31,36,1116,8624888,278222.1935483871,7728.394265232975
decode,mlp_residual,31,36,1116,7977728,257346.06451612903,7148.5017921146955
decode,embedding,31,1,31,262638,8472.193548387097,8472.193548387097
prompt,input_norm,5,36,180,133807670,26761534.0,743375.9444444445
prompt,post_attention_norm,5,36,180,133801905,26760381.0,743343.9166666666
prompt,down_projection,5,36,180,73656620,14731324.0,409203.44444444444
prompt,kv_append,5,36,180,59733474,11946694.8,331852.63333333336
prompt,gate_projection,5,36,180,26467004,5293400.8,147038.9111111111
prompt,up_projection,5,36,180,26180004,5236000.8,145444.46666666667
prompt,o_projection,5,36,180,25514723,5102944.6,141748.4611111111
prompt,q_projection,5,36,180,24883704,4976740.8,138242.8
prompt,k_projection,5,36,180,23994049,4798809.8,133300.27222222224
prompt,v_projection,5,36,180,23938568,4787713.6,132992.04444444444
prompt,q_norm,5,36,180,7534400,1506880.0,41857.77777777778
prompt,k_norm,5,36,180,7460040,1492008.0,41444.666666666664
prompt,rope,5,36,180,7046600,1409320.0,39147.77777777778
prompt,argmax,5,1,5,4826511,965302.2,965302.2
prompt,vocabulary_head,5,1,5,4351944,870388.8,870388.8
prompt,final_norm,5,1,5,3737175,747435.0,747435.0
prompt,gqa,5,36,180,2689280,537856.0,14940.444444444445
prompt,swiglu,5,36,180,1924520,384904.0,10691.777777777777
prompt,attention_residual,5,36,180,1406240,281248.0,7812.444444444444
prompt,mlp_residual,5,36,180,1286000,257200.0,7144.444444444444
prompt,embedding,5,1,5,52600,10520.0,10520.0
