variant,output_token_ordinal,decode_interval_ms
mfma-device-baselineattention,2,461.902479000
mfma-device-baselineattention,3,467.378948000
mfma-device-baselineattention,4,469.597631000
mfma-device-baselineattention,5,472.633113000
mfma-device-baselineattention,6,472.280036000
mfma-device-baselineattention,7,474.080183000
mfma-device-baselineattention,8,470.631956000
mfma-device-baselineattention,9,463.293517000
mfma-device-baselineattention,10,431.016500000
mfma-device-baselineattention,11,331.713600000
mfma-device-baselineattention,12,394.981103000
mfma-device-baselineattention,13,439.915859000
mfma-device-baselineattention,14,440.035959000
mfma-device-baselineattention,15,463.482710000
mfma-device-baselineattention,16,490.560413000
mfma-device-baselineattention,17,503.918218000
mfma-device-baselineattention,18,489.479189000
mfma-device-baselineattention,19,467.408562000
mfma-device-baselineattention,20,497.071215000
mfma-device-baselineattention,21,497.898760000
mfma-device-baselineattention,22,502.396006000
mfma-device-baselineattention,23,502.843695000
mfma-device-baselineattention,24,503.187698000
mfma-device-baselineattention,25,503.446024000
mfma-device-baselineattention,26,507.907787000
mfma-device-baselineattention,27,518.005624000
mfma-device-baselineattention,28,518.368738000
mfma-device-baselineattention,29,519.774446000
mfma-device-baselineattention,30,520.164448000
mfma-device-baselineattention,31,524.498991000
mfma-device-baselineattention,32,514.700790000
mfma-device-waveattention,2,416.501036000
mfma-device-waveattention,3,480.011985000
mfma-device-waveattention,4,469.506926000
mfma-device-waveattention,5,461.437448000
mfma-device-waveattention,6,463.595079000
mfma-device-waveattention,7,442.399559000
mfma-device-waveattention,8,414.177267000
mfma-device-waveattention,9,412.878928000
mfma-device-waveattention,10,415.522535000
mfma-device-waveattention,11,416.912601000
mfma-device-waveattention,12,416.246997000
mfma-device-waveattention,13,417.910652000
mfma-device-waveattention,14,415.894180000
mfma-device-waveattention,15,416.997818000
mfma-device-waveattention,16,417.989110000
mfma-device-waveattention,17,417.953575000
mfma-device-waveattention,18,418.512089000
mfma-device-waveattention,19,416.972581000
mfma-device-waveattention,20,417.265308000
mfma-device-waveattention,21,417.595761000
mfma-device-waveattention,22,418.488535000
mfma-device-waveattention,23,389.761668000
mfma-device-waveattention,24,313.006024000
mfma-device-waveattention,25,374.978283000
mfma-device-waveattention,26,456.834895000
mfma-device-waveattention,27,464.928591000
mfma-device-waveattention,28,464.749613000
mfma-device-waveattention,29,465.682617000
mfma-device-waveattention,30,461.898877000
mfma-device-waveattention,31,460.523493000
mfma-device-waveattention,32,459.790408000
